Numero de mesure;Longitude;Latitude;Position;Insee;Adresse;Complement;Code postal;Commune;Date de mesure;Mesure realisee;Rapport;Conformite de la mesure;Niveau global;Type d'environnement;Laboratoire
14647;3.68417;43.40194;03e 41' 03.00'' Est, 43e 24' 07.00'' Nord;34301;Chemin des Pierres Blanches;Devant le ne53;34200;SETE;14/10/2008;En exterieur;FicheMesure14647.pdf;Oui;5.71;Rue / Route / Parking;AEXPERTISE
14648;3.68472;43.40250;03e 41' 05.00'' Est, 43e 24' 09.00'' Nord;34301;Chemin Saint Clair;Sur le toit panoramique du betiment les Peres de la Salette, en haut de l'escalier;34200;SETE;14/10/2008;En exterieur;FicheMesure14648.pdf;Oui;8.03;Divers;AEXPERTISE
14688;3.68583;43.40222;03e 41' 09.00'' Est, 43e 24' 08.00'' Nord;34301;Chemin Saint Clair;Sur l'esplanade du belvedere, dans l'angle, cete pylene;34200;SETE;14/10/2008;En exterieur;FicheMesure14688.pdf;Oui;9.06;Divers;AEXPERTISE
14723;3.03278;43.36139;03e 01' 58.00'' Est, 43e 21' 41.00'' Nord;34225;13 Chemin de Montfaucon;Chez M. Gonzalez, sur la terrasse;34620;PUISSERGUIER;30/10/2008;En exterieur;FicheMesure14723.pdf;Oui;0.00;Divers;AEXPERTISE
14724;3.73806;43.89500;03e 44' 17.00'' Est, 43e 53' 42.00'' Nord;34243;Avenue du Chemin Neuf;En face de la rue du Croutou;34190;SAINT-BAUZILLE-DE-PUTOIS;29/10/2008;En exterieur;FicheMesure14724.pdf;Oui;1.11;Rue / Route / Parking;AEXPERTISE
14725;3.73667;43.89500;03e 44' 12.00'' Est, 43e 53' 42.00'' Nord;34243;Avenue du Croutou;Dans la cour de l'�cole Saint Baudille;34190;SAINT-BAUZILLE-DE-PUTOIS;29/10/2008;En exterieur;FicheMesure14725.pdf;Oui;0.00;Rue / Route / Parking;AEXPERTISE
14726;3.73528;43.89472;03e 44' 07.00'' Est, 43e 53' 41.00'' Nord;34243;Place de l'Eglise;Sur le parking, en face du ne37;34190;SAINT-BAUZILLE-DE-PUTOIS;29/10/2008;En exterieur;FicheMesure14726.pdf;Oui;0.55;Rue / Route / Parking;AEXPERTISE
14772;3.85444;43.53944;03e 51' 16.00'' Est, 43e 32' 22.00'' Nord;34337;Avenue de la Gare;A cete du portail;34750;VILLENEUVE-LES-MAGUELONE;16/10/2008;En exterieur;FicheMesure14772.pdf;Oui;0.84;Rue / Route / Parking;AEXPERTISE
14773;3.85694;43.53694;03e 51' 25.00'' Est, 43e 32' 13.00'' Nord;34337;Avenue Les Melias;En face du Ne5;34750;VILLENEUVE-LES-MAGUELONE;16/10/2008;En exterieur;FicheMesure14773.pdf;Oui;0.85;Rue / Route / Parking;AEXPERTISE
14774;3.85694;43.53694;03e 51' 25.00'' Est, 43e 32' 13.00'' Nord;34337;Les Tombettes;Devant chez M. SALA;34750;VILLENEUVE-LES-MAGUELONE;16/10/2008;En exterieur;FicheMesure14774.pdf;Oui;0.41;Rue / Route / Parking;AEXPERTISE
